timestamp,test_id,pid_p,pid_i,pid_d,target_left,target_right,actual_speed_left,actual_speed_right,pos_left,pos_right,error_left,error_right
0.532903,9,2.400000,0.040000,0.200000,200,200,167.430000,179.390000,2458.000000,2445.000000,32.570000,20.610000
0.800224,9,2.400000,0.040000,0.200000,200,200,179.390000,179.390000,2858.000000,2847.000000,20.610000,20.610000
1.066368,9,2.400000,0.040000,0.200000,200,200,179.390000,191.350000,3274.000000,3266.000000,20.610000,8.650000
1.330214,9,2.400000,0.040000,0.200000,200,200,191.350000,191.350000,3685.000000,3679.000000,8.650000,8.650000
1.595976,9,2.400000,0.040000,0.200000,200,200,191.350000,203.310000,4119.000000,4114.000000,8.650000,-3.310000
1.862378,9,2.400000,0.040000,0.200000,200,200,191.350000,191.350000,4542.000000,4536.000000,8.650000,8.650000
0.000000,10,2.400000,0.040000,0.200000,300,300,47.840000,35.880000,5241.000000,5235.000000,252.160000,264.120000
0.265521,10,2.400000,0.040000,0.200000,300,300,239.190000,227.230000,5755.000000,5738.000000,60.810000,72.770000
0.533816,10,2.400000,0.040000,0.200000,300,300,251.150000,263.110000,6328.000000,6306.000000,48.850000,36.890000
0.804078,10,2.400000,0.040000,0.200000,300,300,275.070000,263.110000,6933.000000,6910.000000,24.930000,36.890000
1.071872,10,2.400000,0.040000,0.200000,300,300,287.030000,275.070000,7534.000000,7511.000000,12.970000,24.930000
1.334839,10,2.400000,0.040000,0.200000,300,300,287.030000,287.030000,8149.000000,8123.000000,12.970000,12.970000
1.599394,10,2.400000,0.040000,0.200000,300,300,275.070000,287.030000,8798.000000,8772.000000,24.930000,12.970000
1.867243,10,2.400000,0.040000,0.200000,300,300,287.030000,298.990000,9455.000000,9430.000000,12.970000,1.010000
0.000000,11,2.400000,0.040000,0.200000,500,500,71.760000,59.800000,10563.000000,10539.000000,428.240000,440.200000
0.264190,11,2.400000,0.040000,0.200000,500,500,382.700000,370.740000,11419.000000,11377.000000,117.300000,129.260000
0.530906,11,2.400000,0.040000,0.200000,500,500,406.620000,406.620000,12359.000000,12308.000000,93.380000,93.380000
0.798720,11,2.400000,0.040000,0.200000,500,500,442.500000,430.540000,13351.000000,13295.000000,57.500000,69.460000
1.067238,11,2.400000,0.040000,0.200000,500,500,466.420000,454.460000,14342.000000,14284.000000,33.580000,45.540000
1.331799,11,2.400000,0.040000,0.200000,500,500,478.380000,478.380000,15397.000000,15338.000000,21.620000,21.620000
1.596389,11,2.400000,0.040000,0.200000,500,500,466.420000,478.380000,16433.000000,16372.000000,33.580000,21.620000
1.862285,11,2.400000,0.040000,0.200000,500,500,490.340000,478.380000,17522.000000,17462.000000,9.660000,21.620000
0.000001,12,2.000000,0.030000,0.100000,100,100,0.000000,-0.000000,22.000000,13.000000,100.000000,100.000000
0.268837,12,2.000000,0.030000,0.100000,100,100,59.800000,47.840000,160.000000,141.000000,40.200000,52.160000
0.536085,12,2.000000,0.030000,0.100000,100,100,83.720000,95.680000,337.000000,317.000000,16.280000,4.320000
0.800858,12,2.000000,0.030000,0.100000,100,100,95.680000,95.680000,539.000000,521.000000,4.320000,4.320000
1.065674,12,2.000000,0.030000,0.100000,100,100,95.680000,95.680000,751.000000,737.000000,4.320000,4.320000
1.335555,12,2.000000,0.030000,0.100000,100,100,95.680000,107.640000,959.000000,953.000000,4.320000,-7.640000
1.601033,12,2.000000,0.030000,0.100000,100,100,107.640000,107.640000,1179.000000,1180.000000,-7.640000,-7.640000
1.868170,12,2.000000,0.030000,0.100000,100,100,107.640000,95.680000,1402.000000,1409.000000,-7.640000,4.320000
0.000002,13,2.000000,0.030000,0.100000,200,200,0.000000,11.960000,1720.000000,1709.000000,200.000000,188.040000
0.267119,13,2.000000,0.030000,0.100000,200,200,143.510000,131.550000,2020.000000,1998.000000,56.490000,68.450000
0.531489,13,2.000000,0.030000,0.100000,200,200,143.510000,155.470000,2361.000000,2337.000000,56.490000,44.530000
0.795363,13,2.000000,0.030000,0.100000,200,200,179.390000,179.390000,2741.000000,2718.000000,20.610000,20.610000
1.059874,13,2.000000,0.030000,0.100000,200,200,167.430000,191.350000,3125.000000,3105.000000,32.570000,8.650000
1.327534,13,2.000000,0.030000,0.100000,200,200,179.390000,179.390000,3536.000000,3521.000000,20.610000,20.610000
1.595657,13,2.000000,0.030000,0.100000,200,200,191.350000,191.350000,3958.000000,3945.000000,8.650000,8.650000
1.861843,13,2.000000,0.030000,0.100000,200,200,179.390000,191.350000,4370.000000,4358.000000,20.610000,8.650000
0.000000,14,2.000000,0.030000,0.100000,300,300,59.800000,47.840000,5123.000000,5104.000000,240.200000,252.160000
0.265421,14,2.000000,0.030000,0.100000,300,300,227.230000,203.310000,5588.000000,5560.000000,72.770000,96.690000
0.531343,14,2.000000,0.030000,0.100000,300,300,239.190000,239.190000,6134.000000,6100.000000,60.810000,60.810000
0.797915,14,2.000000,0.030000,0.100000,300,300,263.110000,251.150000,6691.000000,6656.000000,36.890000,48.850000
1.063042,14,2.000000,0.030000,0.100000,300,300,275.070000,275.070000,7293.000000,7258.000000,24.930000,24.930000
1.329198,14,2.000000,0.030000,0.100000,300,300,263.110000,263.110000,7913.000000,7877.000000,36.890000,36.890000
1.596006,14,2.000000,0.030000,0.100000,300,300,275.070000,275.070000,8523.000000,8488.000000,24.930000,24.930000
